process,task_hash,c_bytes
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-MACS3_CALLPEAK,237f4d53,52704098
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_COLLECTMULTIPLEMETRICS,8fad5fd0,121836461
NFCORE_CHIPSEQ-CHIPSEQ-PHANTOMPEAKQUALTOOLS,3638595f,18127316
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_COLLECTMULTIPLEMETRICS,acdb2eac,127022496
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-MACS3_CALLPEAK,4531e19a,50256564
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,792827bd,17101677
NFCORE_CHIPSEQ-CHIPSEQ-MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS,3cf2f563,15956159
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_COLLECTMULTIPLEMETRICS,4b5e7f31,125161004
NFCORE_CHIPSEQ-CHIPSEQ-MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS,9f69b853,15468147
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-FRIP_SCORE,79366fde,22535313
NFCORE_CHIPSEQ-CHIPSEQ-MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS,9be874c6,15687605
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-FRIP_SCORE,450e571f,20026851
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTFINGERPRINT,19dad840,288397405
NFCORE_CHIPSEQ-CHIPSEQ-MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS,8787edf0,14101942
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTFINGERPRINT,a16eedc6,274925604
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,c08f1937,11724993
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-MACS3_CALLPEAK,ed8a7d52,55185710
